"base_addr";31004000;"addr_bits";8;;
parameter;AWB_GW=12;;;;
parameter;DW=12;;;;
parameter;GW=12;;;;
parameter;DRW=15;;;;
parameter;IH_SW=12;;;;
parameter;IV_SW=12;;;;
parameter;DDR_ADDR_W=32;;;;
parameter;ACK_DLY=0;;;;
;;;;;
;;;;;
;;;;;
"module_name";"ISP";;;;
"sub_addr";"addr";"RW";"bits";"default (hex)";"description"
"0x83";5083;"RW";8;0;;
;;;"[7:0]";;"r_kpc_st_adr[15:8]"
"0x82";5082;"RW";8;0;;
;;;"[7:0]";;"r_kpc_st_adr[7:0]"

"0x85";5085;"RW";DDR_ADDR_W-24;4;;
;;;"[DDR_ADDR_W-24-1:0]";;"r_fpnc_st_adr_a[DDR_ADDR_W-1:24]"
"0x84";5084;"RW";8;37;;
;;;"[7:0]";;"r_fpnc_st_adr_a[23:16]"
"0x87";5087;"RW";8;0;;
;;;"[7:0]";;"r_fpnc_st_adr_a[15:8]"
"0x86";5086;"RW";8;0;;
;;;"[7:0]";;"r_fpnc_st_adr_a[7:0]"

"0x89";5089;"RW";DDR_ADDR_W-24;4;;
;;;"[DDR_ADDR_W-24-1:0]";;"r_fpnc_st_adr_b[DDR_ADDR_W-1:24]"
"0x88";5088;"RW";8;37;;
;;;"[7:0]";;"r_fpnc_st_adr_b[23:16]"
"0x8b";508b;"RW";8;0;;
;;;"[7:0]";;"r_fpnc_st_adr_b[15:8]"
"0x8a";508a;"RW";8;0;;
;;;"[7:0]";;"r_fpnc_st_adr_b[7:0]"


"0xf0";50f0;"RW";8;00;;
;;;"[1:0]";;"r_test_sel_m[1:0]"
;;;"[6:4]";;"r_test_op_m[2:0]"
"0xf1";50f1;"RW";8;82;;
;;;"[7:0]";;"r_test_num_m[7:0]"
"0xf2";50f2;"RW";8;00;;
;;;"[1:0]";;"r_test_sel_l[1:0]"
;;;"[6:4]";;"r_test_op_l[2:0]"
"0xf3";50f3;"RW";8;83;;
;;;"[7:0]";;"r_test_num_l[7:0]"

"0xf4";50f4;"RW";8;00;;
;;;"[7:0]";;"r_ila_sel[7:0]"


