module_id,module_name,camera,base_addr,address,RW,bits,bit_mask,default_all,description,unique_name,origin_name,combine_name,target_bit_mask,RW,origin_bit_mask,default
ISP,ISP,,0x31004000,0x31004015,RW,8,0x7F,0x41,,ISP_r_line_dly_sel[2:0],r_line_dly_sel[2:0],r_line_dly_sel,0x00000007,RW,0x0E,0x00
ISP,ISP,,0x31004000,0x31004015,RW,8,0x7F,0x41,,ISP_r_expn_rev,r_expn_rev,r_expn_rev,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004015,RW,8,0x7F,0x41,,ISP_r_line_dly_yuv[1:0],r_line_dly_yuv[1:0],r_line_dly_yuv,0x00000003,RW,0x60,0x40
ISP,ISP,,0x31004000,0x31004016,RW,8,0xFF,0x6C,,ISP_r_line_dly_m[4:0],r_line_dly_m[4:0],r_line_dly_m,0x0000001F,RW,0x1F,0x0C
ISP,ISP,,0x31004000,0x31004016,RW,8,0xFF,0x6C,,ISP_r_line_dly_l[2:0],r_line_dly_l[2:0],r_line_dly_l,0x00000007,RW,0xE0,0x60
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_bist_m,r_rst_bist_m,r_rst_bist_m,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_bist_l,r_rst_bist_l,r_rst_bist_l,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_retiming_align,r_rst_retiming_align,r_rst_retiming_align,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_window_ir,r_rst_window_ir,r_rst_window_ir,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_window_yuv,r_rst_window_yuv,r_rst_window_yuv,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_awb2_snr1,r_rst_awb2_snr1,r_rst_awb2_snr1,0x00000001,RW,0x20,0x00
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_isp_test_m,r_rst_isp_test_m,r_rst_isp_test_m,0x00000001,RW,0x40,0x00
ISP,ISP,,0x31004000,0x31004017,RW,8,0xFF,0x00,,ISP_r_rst_isp_test_l,r_rst_isp_test_l,r_rst_isp_test_l,0x00000001,RW,0x80,0x00
ISP,ISP,,0x31004000,0x31004019,RW,5,0x1F,0x0,,ISP_r_clk_off_win_ir,r_clk_off_win_ir,r_clk_off_win_ir,0x00000001,RW,0x1,0x0
ISP,ISP,,0x31004000,0x31004019,RW,5,0x1F,0x0,,ISP_r_clk_off_win_yuv,r_clk_off_win_yuv,r_clk_off_win_yuv,0x00000001,RW,0x2,0x0
ISP,ISP,,0x31004000,0x31004019,RW,5,0x1F,0x0,,ISP_r_clk_off_retiming_align,r_clk_off_retiming_align,r_clk_off_retiming_align,0x00000001,RW,0x4,0x0
ISP,ISP,,0x31004000,0x31004019,RW,5,0x1F,0x0,,ISP_r_clk_off_isp_test_m,r_clk_off_isp_test_m,r_clk_off_isp_test_m,0x00000001,RW,0x8,0x0
ISP,ISP,,0x31004000,0x31004019,RW,5,0x1F,0x0,,ISP_r_clk_off_isp_test_l,r_clk_off_isp_test_l,r_clk_off_isp_test_l,0x00000001,RW,0x10,0x0
ISP,ISP,,0x31004000,0x3100401A,RW,8,0x0F,0x0C,,ISP_r_ir_path_sv,r_ir_path_sv,r_ir_path_sv,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x3100401A,RW,8,0x0F,0x0C,,ISP_r_ir_bgr_sv_rev,r_ir_bgr_sv_rev,r_ir_bgr_sv_rev,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x3100401A,RW,8,0x0F,0x0C,,ISP_r_isp2osd_en,r_isp2osd_en,r_isp2osd_en,0x00000001,RW,0x04,0x04
ISP,ISP,,0x31004000,0x3100401A,RW,8,0x0F,0x0C,,ISP_r_row_expand_en,r_row_expand_en,r_row_expand_en,0x00000001,RW,0x08,0x08
ISP,ISP,,0x31004000,0x31004021,RW,4,0xF,0x4,,ISP_r_awb_bgain[0][0][AWB_GW-1:8],r_awb_bgain[0][0][AWB_GW-1:8],r_awb_bgain[0][0],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004020,RW,8,0xFF,0x00,,ISP_r_awb_bgain[0][0][7:0],r_awb_bgain[0][0][7:0],r_awb_bgain[0][0],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004023,RW,4,0xF,0x4,,ISP_r_awb_gbgain[0][0][AWB_GW-1:8],r_awb_gbgain[0][0][AWB_GW-1:8],r_awb_gbgain[0][0],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004022,RW,8,0xFF,0x00,,ISP_r_awb_gbgain[0][0][7:0],r_awb_gbgain[0][0][7:0],r_awb_gbgain[0][0],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004025,RW,4,0xF,0x4,,ISP_r_awb_grgain[0][0][AWB_GW-1:8],r_awb_grgain[0][0][AWB_GW-1:8],r_awb_grgain[0][0],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004024,RW,8,0xFF,0x00,,ISP_r_awb_grgain[0][0][7:0],r_awb_grgain[0][0][7:0],r_awb_grgain[0][0],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004027,RW,4,0xF,0x4,,ISP_r_awb_rgain[0][0][AWB_GW-1:8],r_awb_rgain[0][0][AWB_GW-1:8],r_awb_rgain[0][0],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004026,RW,8,0xFF,0x00,,ISP_r_awb_rgain[0][0][7:0],r_awb_rgain[0][0][7:0],r_awb_rgain[0][0],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004029,RW,4,0xF,0x4,,ISP_r_awb_bgain[0][1][AWB_GW-1:8],r_awb_bgain[0][1][AWB_GW-1:8],r_awb_bgain[0][1],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004028,RW,8,0xFF,0x00,,ISP_r_awb_bgain[0][1][7:0],r_awb_bgain[0][1][7:0],r_awb_bgain[0][1],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x3100402B,RW,4,0xF,0x4,,ISP_r_awb_gbgain[0][1][AWB_GW-1:8],r_awb_gbgain[0][1][AWB_GW-1:8],r_awb_gbgain[0][1],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x3100402A,RW,8,0xFF,0x00,,ISP_r_awb_gbgain[0][1][7:0],r_awb_gbgain[0][1][7:0],r_awb_gbgain[0][1],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x3100402D,RW,4,0xF,0x4,,ISP_r_awb_grgain[0][1][AWB_GW-1:8],r_awb_grgain[0][1][AWB_GW-1:8],r_awb_grgain[0][1],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x3100402C,RW,8,0xFF,0x00,,ISP_r_awb_grgain[0][1][7:0],r_awb_grgain[0][1][7:0],r_awb_grgain[0][1],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x3100402F,RW,4,0xF,0x4,,ISP_r_awb_rgain[0][1][AWB_GW-1:8],r_awb_rgain[0][1][AWB_GW-1:8],r_awb_rgain[0][1],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x3100402E,RW,8,0xFF,0x00,,ISP_r_awb_rgain[0][1][7:0],r_awb_rgain[0][1][7:0],r_awb_rgain[0][1],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004031,RW,4,0xF,0x4,,ISP_r_awb_bgain[0][2][AWB_GW-1:8],r_awb_bgain[0][2][AWB_GW-1:8],r_awb_bgain[0][2],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004030,RW,8,0xFF,0x00,,ISP_r_awb_bgain[0][2][7:0],r_awb_bgain[0][2][7:0],r_awb_bgain[0][2],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004033,RW,4,0xF,0x4,,ISP_r_awb_gbgain[0][2][AWB_GW-1:8],r_awb_gbgain[0][2][AWB_GW-1:8],r_awb_gbgain[0][2],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004032,RW,8,0xFF,0x00,,ISP_r_awb_gbgain[0][2][7:0],r_awb_gbgain[0][2][7:0],r_awb_gbgain[0][2],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004035,RW,4,0xF,0x4,,ISP_r_awb_grgain[0][2][AWB_GW-1:8],r_awb_grgain[0][2][AWB_GW-1:8],r_awb_grgain[0][2],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004034,RW,8,0xFF,0x00,,ISP_r_awb_grgain[0][2][7:0],r_awb_grgain[0][2][7:0],r_awb_grgain[0][2],0x000000FF,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x31004037,RW,4,0xF,0x4,,ISP_r_awb_rgain[0][2][AWB_GW-1:8],r_awb_rgain[0][2][AWB_GW-1:8],r_awb_rgain[0][2],0x00000F00,RW,0xF,0x4
ISP,ISP,,0x31004000,0x31004036,RW,8,0xFF,0x00,,ISP_r_awb_rgain[0][2][7:0],r_awb_rgain[0][2][7:0],r_awb_rgain[0][2],0x000000FF,RW,0xFF,0x00
